,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
25,-9.0,-2.0,-4.0,-4.0,0.0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
26,-10.0,-2.0,-4.0,-3.0,-1.0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
27,-8.0,-1.0,-4.0,-3.0,0.0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
28,-9.0,10.0,12.0,2.0,3.0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
29,1.0,104.0,104.0,108.0,107.0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
30,0.0,98.0,94.0,104.0,100.0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
31,0.0,95.0,92.0,98.0,96.0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
32,-3.0,91.0,90.0,95.0,96.0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
33,-5.0,91.0,89.0,93.0,91.0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
34,-2.0,89.0,87.0,92.0,89.0,2.678765,2.336591,9.243474,-0.023213,0.015882,-0.018326
35,-6.0,78.0,75.0,83.0,77.0,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
36,-1.0,78.0,78.0,83.0,78.0,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
37,-1.0,77.0,78.0,83.0,73.0,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
38,-5.0,75.0,77.0,83.0,73.0,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
39,-1.0,77.0,77.0,85.0,78.0,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
40,-1.0,75.0,76.0,83.0,78.0,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
41,-6.0,78.0,76.0,85.0,78.0,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
42,-2.0,77.0,76.0,83.0,78.0,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
43,-3.0,78.0,73.0,84.0,78.0,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
44,-7.0,78.0,77.0,82.0,78.0,2.559124,2.897708,9.04487,0.014661,-0.025656,0.012217
45,-2.0,76.0,77.0,79.0,76.0,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
46,-5.0,75.0,75.0,82.0,76.0,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
47,-1.0,73.0,74.0,80.0,78.0,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
48,-3.0,76.0,77.0,80.0,72.0,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
49,-1.0,77.0,75.0,76.0,77.0,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
50,-2.0,76.0,75.0,76.0,75.0,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
51,-7.0,76.0,77.0,79.0,77.0,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
52,-2.0,75.0,76.0,80.0,76.0,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
53,-1.0,77.0,75.0,80.0,77.0,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
54,-1.0,73.0,75.0,80.0,75.0,1.981257,1.964507,9.238688,-0.025656,0.010996,0.026878
55,-2.0,72.0,73.0,77.0,75.0,2.29711,2.239682,9.279366,-0.072082,0.004887,-0.001222
56,-7.0,73.0,72.0,80.0,75.0,2.29711,2.239682,9.279366,-0.072082,0.004887,-0.001222
57,-3.0,73.0,74.0,79.0,76.0,2.29711,2.239682,9.279366,-0.072082,0.004887,-0.001222
58,-2.0,72.0,74.0,75.0,77.0,2.29711,2.239682,9.279366,-0.072082,0.004887,-0.001222
59,-2.0,72.0,73.0,78.0,71.0,2.29711,2.239682,9.279366,-0.072082,0.004887,-0.001222
60,-2.0,72.0,74.0,81.0,75.0,2.29711,2.239682,9.279366,-0.072082,0.004887,-0.001222
61,-5.0,70.0,76.0,79.0,74.0,2.29711,2.239682,9.279366,-0.072082,0.004887,-0.001222
62,-4.0,69.0,74.0,77.0,75.0,2.29711,2.239682,9.279366,-0.072082,0.004887,-0.001222
63,-3.0,71.0,74.0,78.0,73.0,2.29711,2.239682,9.279366,-0.072082,0.004887,-0.001222
64,-5.0,72.0,75.0,78.0,75.0,2.29711,2.239682,9.279366,-0.072082,0.004887,-0.001222
65,-8.0,70.0,71.0,78.0,69.0,2.014757,3.134598,10.000803,0.084299,-0.106291,-0.085521
66,-4.0,71.0,73.0,76.0,77.0,2.014757,3.134598,10.000803,0.084299,-0.106291,-0.085521
67,-5.0,71.0,74.0,78.0,71.0,2.014757,3.134598,10.000803,0.084299,-0.106291,-0.085521
68,-4.0,72.0,72.0,77.0,77.0,2.014757,3.134598,10.000803,0.084299,-0.106291,-0.085521
69,-4.0,71.0,72.0,77.0,75.0,2.014757,3.134598,10.000803,0.084299,-0.106291,-0.085521
70,-4.0,72.0,71.0,79.0,74.0,2.014757,3.134598,10.000803,0.084299,-0.106291,-0.085521
71,-2.0,71.0,72.0,80.0,75.0,2.014757,3.134598,10.000803,0.084299,-0.106291,-0.085521
72,-3.0,71.0,72.0,79.0,77.0,2.014757,3.134598,10.000803,0.084299,-0.106291,-0.085521
73,-5.0,70.0,70.0,78.0,75.0,2.014757,3.134598,10.000803,0.084299,-0.106291,-0.085521
74,-3.0,71.0,72.0,74.0,75.0,2.014757,3.134598,10.000803,0.084299,-0.106291,-0.085521
75,-6.0,70.0,70.0,72.0,74.0,1.227518,4.520042,8.606983,-0.040317,-0.021991,0.053756
76,-4.0,70.0,72.0,76.0,72.0,1.227518,4.520042,8.606983,-0.040317,-0.021991,0.053756
77,-3.0,69.0,69.0,72.0,74.0,1.227518,4.520042,8.606983,-0.040317,-0.021991,0.053756
78,-3.0,70.0,69.0,77.0,72.0,1.227518,4.520042,8.606983,-0.040317,-0.021991,0.053756
79,-4.0,69.0,72.0,75.0,72.0,1.227518,4.520042,8.606983,-0.040317,-0.021991,0.053756
80,-3.0,69.0,69.0,76.0,74.0,1.227518,4.520042,8.606983,-0.040317,-0.021991,0.053756
81,-4.0,69.0,69.0,76.0,74.0,1.227518,4.520042,8.606983,-0.040317,-0.021991,0.053756
82,-4.0,66.0,70.0,76.0,74.0,1.227518,4.520042,8.606983,-0.040317,-0.021991,0.053756
83,-4.0,65.0,70.0,72.0,74.0,1.227518,4.520042,8.606983,-0.040317,-0.021991,0.053756
84,-2.0,69.0,70.0,71.0,74.0,1.227518,4.520042,8.606983,-0.040317,-0.021991,0.053756
85,-8.0,-2.0,-3.0,-3.0,-1.0,0.617348,5.631508,7.799405,0.107512,0.24679,-0.004887
86,-9.0,-2.0,-4.0,-3.0,-1.0,0.617348,5.631508,7.799405,0.107512,0.24679,-0.004887
87,-11.0,0.0,-4.0,-3.0,0.0,0.617348,5.631508,7.799405,0.107512,0.24679,-0.004887
88,-8.0,-1.0,-4.0,-3.0,-1.0,0.617348,5.631508,7.799405,0.107512,0.24679,-0.004887
89,-8.0,2.0,6.0,0.0,1.0,0.617348,5.631508,7.799405,0.107512,0.24679,-0.004887
90,2.0,97.0,101.0,104.0,93.0,0.617348,5.631508,7.799405,0.107512,0.24679,-0.004887
91,0.0,96.0,92.0,98.0,93.0,0.617348,5.631508,7.799405,0.107512,0.24679,-0.004887
92,0.0,86.0,90.0,91.0,92.0,0.617348,5.631508,7.799405,0.107512,0.24679,-0.004887
93,0.0,88.0,81.0,91.0,86.0,0.617348,5.631508,7.799405,0.107512,0.24679,-0.004887
94,0.0,87.0,84.0,90.0,84.0,0.617348,5.631508,7.799405,0.107512,0.24679,-0.004887
95,-9.0,-2.0,-4.0,-3.0,0.0,0.637687,5.605187,7.672585,-0.024435,-0.002443,0.025656
96,-8.0,-2.0,-5.0,-5.0,0.0,0.637687,5.605187,7.672585,-0.024435,-0.002443,0.025656
97,-9.0,-2.0,-3.0,-4.0,-1.0,0.637687,5.605187,7.672585,-0.024435,-0.002443,0.025656
98,-8.0,-2.0,-3.0,-3.0,-2.0,0.637687,5.605187,7.672585,-0.024435,-0.002443,0.025656
99,-1.0,86.0,90.0,90.0,85.0,0.637687,5.605187,7.672585,-0.024435,-0.002443,0.025656
100,2.0,89.0,89.0,99.0,94.0,0.637687,5.605187,7.672585,-0.024435,-0.002443,0.025656
101,2.0,88.0,87.0,98.0,86.0,0.637687,5.605187,7.672585,-0.024435,-0.002443,0.025656
102,1.0,86.0,85.0,87.0,83.0,0.637687,5.605187,7.672585,-0.024435,-0.002443,0.025656
103,2.0,85.0,85.0,89.0,82.0,0.637687,5.605187,7.672585,-0.024435,-0.002443,0.025656
104,0.0,80.0,81.0,88.0,77.0,0.637687,5.605187,7.672585,-0.024435,-0.002443,0.025656
105,0.0,73.0,73.0,79.0,75.0,0.397209,5.180461,8.261221,-0.0281,-0.013439,0.013439
106,0.0,76.0,77.0,80.0,77.0,0.397209,5.180461,8.261221,-0.0281,-0.013439,0.013439
107,-2.0,74.0,73.0,80.0,75.0,0.397209,5.180461,8.261221,-0.0281,-0.013439,0.013439
108,0.0,75.0,75.0,79.0,72.0,0.397209,5.180461,8.261221,-0.0281,-0.013439,0.013439
109,-2.0,72.0,75.0,78.0,72.0,0.397209,5.180461,8.261221,-0.0281,-0.013439,0.013439
110,0.0,70.0,73.0,76.0,72.0,0.397209,5.180461,8.261221,-0.0281,-0.013439,0.013439
111,-1.0,68.0,73.0,76.0,65.0,0.397209,5.180461,8.261221,-0.0281,-0.013439,0.013439
112,0.0,58.0,66.0,69.0,52.0,0.397209,5.180461,8.261221,-0.0281,-0.013439,0.013439
113,-1.0,37.0,46.0,51.0,31.0,0.397209,5.180461,8.261221,-0.0281,-0.013439,0.013439
114,-2.0,20.0,26.0,26.0,19.0,0.397209,5.180461,8.261221,-0.0281,-0.013439,0.013439
115,-1.0,79.0,75.0,90.0,73.0,-0.833899,8.901299,4.542774,-0.130725,0.010996,0.384845
116,0.0,79.0,76.0,92.0,74.0,-0.833899,8.901299,4.542774,-0.130725,0.010996,0.384845
117,-1.0,78.0,76.0,92.0,73.0,-0.833899,8.901299,4.542774,-0.130725,0.010996,0.384845
118,0.0,79.0,76.0,84.0,72.0,-0.833899,8.901299,4.542774,-0.130725,0.010996,0.384845
119,0.0,79.0,75.0,89.0,75.0,-0.833899,8.901299,4.542774,-0.130725,0.010996,0.384845
120,0.0,78.0,76.0,85.0,73.0,-0.833899,8.901299,4.542774,-0.130725,0.010996,0.384845
121,0.0,75.0,75.0,87.0,73.0,-0.833899,8.901299,4.542774,-0.130725,0.010996,0.384845
122,-1.0,76.0,75.0,88.0,75.0,-0.833899,8.901299,4.542774,-0.130725,0.010996,0.384845
123,0.0,78.0,75.0,88.0,70.0,-0.833899,8.901299,4.542774,-0.130725,0.010996,0.384845
124,0.0,77.0,76.0,89.0,73.0,-0.833899,8.901299,4.542774,-0.130725,0.010996,0.384845
125,1.0,87.0,78.0,81.0,70.0,-1.293321,9.754342,3.979264,-0.015882,-0.09163,-0.034208
126,0.0,87.0,76.0,83.0,71.0,-1.293321,9.754342,3.979264,-0.015882,-0.09163,-0.034208
127,1.0,87.0,76.0,84.0,71.0,-1.293321,9.754342,3.979264,-0.015882,-0.09163,-0.034208
128,2.0,84.0,76.0,84.0,69.0,-1.293321,9.754342,3.979264,-0.015882,-0.09163,-0.034208
129,0.0,87.0,76.0,84.0,71.0,-1.293321,9.754342,3.979264,-0.015882,-0.09163,-0.034208
130,1.0,86.0,75.0,84.0,69.0,-1.293321,9.754342,3.979264,-0.015882,-0.09163,-0.034208
131,1.0,85.0,77.0,84.0,69.0,-1.293321,9.754342,3.979264,-0.015882,-0.09163,-0.034208
132,0.0,86.0,72.0,84.0,69.0,-1.293321,9.754342,3.979264,-0.015882,-0.09163,-0.034208
133,1.0,85.0,76.0,83.0,71.0,-1.293321,9.754342,3.979264,-0.015882,-0.09163,-0.034208
134,1.0,85.0,75.0,83.0,69.0,-1.293321,9.754342,3.979264,-0.015882,-0.09163,-0.034208
135,2.0,88.0,75.0,84.0,65.0,-1.765903,8.744571,3.897908,0.054978,0.012217,0.004887
136,2.0,86.0,78.0,84.0,64.0,-1.765903,8.744571,3.897908,0.054978,0.012217,0.004887
137,2.0,86.0,78.0,84.0,63.0,-1.765903,8.744571,3.897908,0.054978,0.012217,0.004887
138,2.0,86.0,77.0,84.0,63.0,-1.765903,8.744571,3.897908,0.054978,0.012217,0.004887
139,3.0,86.0,77.0,83.0,63.0,-1.765903,8.744571,3.897908,0.054978,0.012217,0.004887
140,2.0,86.0,79.0,81.0,64.0,-1.765903,8.744571,3.897908,0.054978,0.012217,0.004887
141,3.0,86.0,77.0,83.0,64.0,-1.765903,8.744571,3.897908,0.054978,0.012217,0.004887
142,3.0,83.0,74.0,78.0,63.0,-1.765903,8.744571,3.897908,0.054978,0.012217,0.004887
143,2.0,85.0,76.0,81.0,63.0,-1.765903,8.744571,3.897908,0.054978,0.012217,0.004887
144,3.0,85.0,75.0,84.0,64.0,-1.765903,8.744571,3.897908,0.054978,0.012217,0.004887
145,2.0,71.0,66.0,80.0,64.0,-1.664208,8.806784,3.25065,0.023213,-0.008552,0.001222
146,2.0,71.0,66.0,79.0,63.0,-1.664208,8.806784,3.25065,0.023213,-0.008552,0.001222
147,2.0,71.0,66.0,81.0,61.0,-1.664208,8.806784,3.25065,0.023213,-0.008552,0.001222
148,1.0,71.0,67.0,79.0,61.0,-1.664208,8.806784,3.25065,0.023213,-0.008552,0.001222
149,1.0,70.0,66.0,81.0,59.0,-1.664208,8.806784,3.25065,0.023213,-0.008552,0.001222
150,2.0,70.0,65.0,79.0,60.0,-1.664208,8.806784,3.25065,0.023213,-0.008552,0.001222
151,1.0,70.0,66.0,76.0,64.0,-1.664208,8.806784,3.25065,0.023213,-0.008552,0.001222
152,1.0,70.0,66.0,77.0,63.0,-1.664208,8.806784,3.25065,0.023213,-0.008552,0.001222
153,1.0,72.0,66.0,74.0,61.0,-1.664208,8.806784,3.25065,0.023213,-0.008552,0.001222
154,1.0,70.0,65.0,76.0,61.0,-1.664208,8.806784,3.25065,0.023213,-0.008552,0.001222
155,0.0,73.0,65.0,70.0,57.0,-1.342373,8.020741,3.753142,0.034208,0.268781,0.28955
156,-1.0,75.0,67.0,74.0,61.0,-1.342373,8.020741,3.753142,0.034208,0.268781,0.28955
157,0.0,75.0,67.0,72.0,60.0,-1.342373,8.020741,3.753142,0.034208,0.268781,0.28955
158,0.0,75.0,68.0,73.0,59.0,-1.342373,8.020741,3.753142,0.034208,0.268781,0.28955
159,0.0,72.0,67.0,72.0,59.0,-1.342373,8.020741,3.753142,0.034208,0.268781,0.28955
160,0.0,71.0,67.0,72.0,60.0,-1.342373,8.020741,3.753142,0.034208,0.268781,0.28955
161,0.0,74.0,66.0,70.0,59.0,-1.342373,8.020741,3.753142,0.034208,0.268781,0.28955
162,-1.0,74.0,67.0,73.0,59.0,-1.342373,8.020741,3.753142,0.034208,0.268781,0.28955
163,-1.0,75.0,66.0,69.0,59.0,-1.342373,8.020741,3.753142,0.034208,0.268781,0.28955
164,0.0,73.0,66.0,71.0,59.0,-1.342373,8.020741,3.753142,0.034208,0.268781,0.28955
165,0.0,81.0,72.0,71.0,66.0,0.421137,6.12443,3.802195,-0.315206,0.309098,0.272446
166,0.0,80.0,72.0,72.0,62.0,0.421137,6.12443,3.802195,-0.315206,0.309098,0.272446
167,0.0,79.0,72.0,72.0,65.0,0.421137,6.12443,3.802195,-0.315206,0.309098,0.272446
168,-1.0,80.0,72.0,72.0,64.0,0.421137,6.12443,3.802195,-0.315206,0.309098,0.272446
169,0.0,80.0,72.0,72.0,64.0,0.421137,6.12443,3.802195,-0.315206,0.309098,0.272446
170,0.0,80.0,69.0,71.0,65.0,0.421137,6.12443,3.802195,-0.315206,0.309098,0.272446
171,0.0,79.0,70.0,72.0,66.0,0.421137,6.12443,3.802195,-0.315206,0.309098,0.272446
172,0.0,80.0,73.0,73.0,64.0,0.421137,6.12443,3.802195,-0.315206,0.309098,0.272446
173,0.0,79.0,72.0,72.0,63.0,0.421137,6.12443,3.802195,-0.315206,0.309098,0.272446
174,0.0,80.0,67.0,69.0,64.0,0.421137,6.12443,3.802195,-0.315206,0.309098,0.272446
175,-1.0,80.0,72.0,79.0,65.0,-1.227518,7.914261,4.21735,0.249233,0.0,-0.401949
176,-1.0,80.0,72.0,79.0,64.0,-1.227518,7.914261,4.21735,0.249233,0.0,-0.401949
177,0.0,81.0,72.0,79.0,65.0,-1.227518,7.914261,4.21735,0.249233,0.0,-0.401949
178,-1.0,80.0,72.0,77.0,64.0,-1.227518,7.914261,4.21735,0.249233,0.0,-0.401949
179,-1.0,79.0,71.0,77.0,66.0,-1.227518,7.914261,4.21735,0.249233,0.0,-0.401949
180,-1.0,79.0,69.0,76.0,65.0,-1.227518,7.914261,4.21735,0.249233,0.0,-0.401949
181,-3.0,79.0,73.0,78.0,65.0,-1.227518,7.914261,4.21735,0.249233,0.0,-0.401949
182,-1.0,78.0,70.0,76.0,63.0,-1.227518,7.914261,4.21735,0.249233,0.0,-0.401949
183,-1.0,79.0,72.0,72.0,63.0,-1.227518,7.914261,4.21735,0.249233,0.0,-0.401949
184,-1.0,78.0,69.0,78.0,64.0,-1.227518,7.914261,4.21735,0.249233,0.0,-0.401949
185,-1.0,78.0,74.0,79.0,61.0,-0.961915,8.477771,4.163511,-0.002443,0.124617,0.012217
186,-1.0,78.0,74.0,80.0,58.0,-0.961915,8.477771,4.163511,-0.002443,0.124617,0.012217
187,-1.0,77.0,72.0,81.0,60.0,-0.961915,8.477771,4.163511,-0.002443,0.124617,0.012217
188,-1.0,77.0,72.0,77.0,56.0,-0.961915,8.477771,4.163511,-0.002443,0.124617,0.012217
189,-3.0,78.0,74.0,78.0,59.0,-0.961915,8.477771,4.163511,-0.002443,0.124617,0.012217
190,-1.0,77.0,72.0,79.0,56.0,-0.961915,8.477771,4.163511,-0.002443,0.124617,0.012217
191,-1.0,76.0,72.0,78.0,59.0,-0.961915,8.477771,4.163511,-0.002443,0.124617,0.012217
192,-1.0,76.0,72.0,77.0,60.0,-0.961915,8.477771,4.163511,-0.002443,0.124617,0.012217
193,-1.0,76.0,73.0,78.0,58.0,-0.961915,8.477771,4.163511,-0.002443,0.124617,0.012217
194,-1.0,75.0,71.0,77.0,55.0,-0.961915,8.477771,4.163511,-0.002443,0.124617,0.012217
195,-1.0,76.0,72.0,82.0,57.0,-0.617348,8.539985,4.254438,0.003665,0.16249,0.009774
196,-2.0,76.0,72.0,81.0,58.0,-0.617348,8.539985,4.254438,0.003665,0.16249,0.009774
197,-2.0,75.0,72.0,80.0,58.0,-0.617348,8.539985,4.254438,0.003665,0.16249,0.009774
198,-2.0,75.0,72.0,81.0,57.0,-0.617348,8.539985,4.254438,0.003665,0.16249,0.009774
199,-4.0,75.0,74.0,81.0,59.0,-0.617348,8.539985,4.254438,0.003665,0.16249,0.009774
200,-3.0,76.0,73.0,80.0,58.0,-0.617348,8.539985,4.254438,0.003665,0.16249,0.009774
201,-1.0,74.0,72.0,81.0,56.0,-0.617348,8.539985,4.254438,0.003665,0.16249,0.009774
202,-2.0,75.0,73.0,81.0,53.0,-0.617348,8.539985,4.254438,0.003665,0.16249,0.009774
203,-2.0,75.0,72.0,76.0,56.0,-0.617348,8.539985,4.254438,0.003665,0.16249,0.009774
204,-2.0,76.0,73.0,81.0,56.0,-0.617348,8.539985,4.254438,0.003665,0.16249,0.009774
205,-1.0,79.0,73.0,84.0,58.0,-0.299103,8.313862,4.431507,0.304211,0.094073,-0.249233
206,-2.0,77.0,70.0,83.0,55.0,-0.299103,8.313862,4.431507,0.304211,0.094073,-0.249233
207,-1.0,78.0,73.0,86.0,56.0,-0.299103,8.313862,4.431507,0.304211,0.094073,-0.249233
208,-1.0,77.0,74.0,84.0,55.0,-0.299103,8.313862,4.431507,0.304211,0.094073,-0.249233
209,-1.0,78.0,72.0,86.0,56.0,-0.299103,8.313862,4.431507,0.304211,0.094073,-0.249233
210,-2.0,78.0,70.0,84.0,56.0,-0.299103,8.313862,4.431507,0.304211,0.094073,-0.249233
211,0.0,76.0,70.0,83.0,55.0,-0.299103,8.313862,4.431507,0.304211,0.094073,-0.249233
212,-1.0,74.0,73.0,85.0,54.0,-0.299103,8.313862,4.431507,0.304211,0.094073,-0.249233
213,-3.0,77.0,72.0,85.0,57.0,-0.299103,8.313862,4.431507,0.304211,0.094073,-0.249233
214,-1.0,78.0,73.0,83.0,56.0,-0.299103,8.313862,4.431507,0.304211,0.094073,-0.249233
215,-1.0,72.0,75.0,80.0,53.0,0.125623,8.373683,4.572684,0.019548,0.020769,0.0281
216,-1.0,71.0,74.0,82.0,53.0,0.125623,8.373683,4.572684,0.019548,0.020769,0.0281
217,-1.0,69.0,76.0,76.0,52.0,0.125623,8.373683,4.572684,0.019548,0.020769,0.0281
218,-1.0,71.0,74.0,81.0,53.0,0.125623,8.373683,4.572684,0.019548,0.020769,0.0281
219,-1.0,71.0,74.0,81.0,53.0,0.125623,8.373683,4.572684,0.019548,0.020769,0.0281
220,-1.0,71.0,74.0,80.0,52.0,0.125623,8.373683,4.572684,0.019548,0.020769,0.0281
221,-3.0,72.0,72.0,81.0,51.0,0.125623,8.373683,4.572684,0.019548,0.020769,0.0281
222,-1.0,72.0,74.0,81.0,54.0,0.125623,8.373683,4.572684,0.019548,0.020769,0.0281
223,-1.0,72.0,69.0,80.0,49.0,0.125623,8.373683,4.572684,0.019548,0.020769,0.0281
224,-1.0,68.0,74.0,80.0,51.0,0.125623,8.373683,4.572684,0.019548,0.020769,0.0281
225,0.0,77.0,72.0,85.0,56.0,0.507278,8.523234,4.473382,0.004887,0.041539,0.002443
226,0.0,77.0,74.0,86.0,51.0,0.507278,8.523234,4.473382,0.004887,0.041539,0.002443
227,0.0,76.0,75.0,80.0,54.0,0.507278,8.523234,4.473382,0.004887,0.041539,0.002443
228,0.0,75.0,73.0,84.0,54.0,0.507278,8.523234,4.473382,0.004887,0.041539,0.002443
229,-1.0,73.0,72.0,84.0,54.0,0.507278,8.523234,4.473382,0.004887,0.041539,0.002443
230,0.0,72.0,71.0,83.0,53.0,0.507278,8.523234,4.473382,0.004887,0.041539,0.002443
231,0.0,76.0,68.0,81.0,54.0,0.507278,8.523234,4.473382,0.004887,0.041539,0.002443
232,0.0,73.0,73.0,78.0,52.0,0.507278,8.523234,4.473382,0.004887,0.041539,0.002443
233,0.0,75.0,71.0,78.0,53.0,0.507278,8.523234,4.473382,0.004887,0.041539,0.002443
234,0.0,73.0,67.0,85.0,51.0,0.507278,8.523234,4.473382,0.004887,0.041539,0.002443
235,3.0,82.0,76.0,84.0,60.0,1.002593,8.694322,4.266403,0.029322,-0.015882,-0.026878
236,4.0,81.0,74.0,83.0,58.0,1.002593,8.694322,4.266403,0.029322,-0.015882,-0.026878
237,3.0,81.0,75.0,84.0,59.0,1.002593,8.694322,4.266403,0.029322,-0.015882,-0.026878
238,3.0,81.0,75.0,82.0,60.0,1.002593,8.694322,4.266403,0.029322,-0.015882,-0.026878
239,4.0,79.0,75.0,83.0,59.0,1.002593,8.694322,4.266403,0.029322,-0.015882,-0.026878
240,3.0,79.0,73.0,81.0,58.0,1.002593,8.694322,4.266403,0.029322,-0.015882,-0.026878
241,3.0,80.0,75.0,81.0,57.0,1.002593,8.694322,4.266403,0.029322,-0.015882,-0.026878
242,1.0,79.0,69.0,76.0,56.0,1.002593,8.694322,4.266403,0.029322,-0.015882,-0.026878
243,3.0,77.0,72.0,82.0,57.0,1.002593,8.694322,4.266403,0.029322,-0.015882,-0.026878
244,3.0,77.0,72.0,80.0,56.0,1.002593,8.694322,4.266403,0.029322,-0.015882,-0.026878
245,1.0,86.0,80.0,93.0,60.0,1.052842,8.659625,4.470989,-0.012217,0.013439,0.041539
246,0.0,84.0,76.0,88.0,62.0,1.052842,8.659625,4.470989,-0.012217,0.013439,0.041539
247,1.0,82.0,75.0,85.0,61.0,1.052842,8.659625,4.470989,-0.012217,0.013439,0.041539
248,1.0,80.0,76.0,88.0,56.0,1.052842,8.659625,4.470989,-0.012217,0.013439,0.041539
249,1.0,79.0,73.0,84.0,58.0,1.052842,8.659625,4.470989,-0.012217,0.013439,0.041539
250,1.0,79.0,72.0,82.0,59.0,1.052842,8.659625,4.470989,-0.012217,0.013439,0.041539
251,0.0,78.0,71.0,83.0,54.0,1.052842,8.659625,4.470989,-0.012217,0.013439,0.041539
252,1.0,78.0,72.0,81.0,57.0,1.052842,8.659625,4.470989,-0.012217,0.013439,0.041539
253,0.0,78.0,72.0,81.0,58.0,1.052842,8.659625,4.470989,-0.012217,0.013439,0.041539
254,0.0,76.0,68.0,81.0,56.0,1.052842,8.659625,4.470989,-0.012217,0.013439,0.041539
255,4.0,101.0,97.0,95.0,122.0,1.133002,9.239884,3.049652,0.015882,0.0,-0.004887
256,-1.0,100.0,97.0,92.0,125.0,1.133002,9.239884,3.049652,0.015882,0.0,-0.004887
