Resistance,Thumb,Index,Middle,Ring,Pinky,,,,,,
Straight resistance,143204.625,55087.67969,50916.53125,54617.53125,147378.5938,,,,,,
Bend resistance,309419.25,136426.375,105947.0859,122952.75,334740.3125,,,,,,
Time to read data,,,,,,,,,,,
Label,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
Recording starts in 2s,,,,,,,,,,,
A,22,33,43,37,20,-2.833102,6.748957,6.18784,-0.048869,-0.013439,0.086743
A,22,33,43,39,19,-2.833102,6.748957,6.18784,-0.048869,-0.013439,0.086743
A,22,34,44,38,19,-2.833102,6.748957,6.18784,-0.048869,-0.013439,0.086743
A,22,35,43,40,19,-2.833102,6.748957,6.18784,-0.048869,-0.013439,0.086743
A,22,35,43,39,19,-2.833102,6.748957,6.18784,-0.048869,-0.013439,0.086743
A,22,33,44,38,19,-2.833102,6.748957,6.18784,-0.048869,-0.013439,0.086743
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,23,34,42,36,20,-2.944368,6.342176,6.799206,0,-0.010996,-0.009774
A,23,34,43,37,17,-2.944368,6.342176,6.799206,0,-0.010996,-0.009774
A,23,35,43,37,19,-2.944368,6.342176,6.799206,0,-0.010996,-0.009774
A,23,33,40,38,20,-2.944368,6.342176,6.799206,0,-0.010996,-0.009774
A,22,34,42,37,18,-2.944368,6.342176,6.799206,0,-0.010996,-0.009774
A,22,35,44,38,19,-2.944368,6.342176,6.799206,0,-0.010996,-0.009774
A,23,35,42,37,18,-2.944368,6.342176,6.799206,0,-0.010996,-0.009774
A,22,33,43,37,18,-2.944368,6.342176,6.799206,0,-0.010996,-0.009774
A,23,34,45,38,18,-2.944368,6.342176,6.799206,0,-0.010996,-0.009774
A,23,33,41,37,18,-2.944368,6.342176,6.799206,0,-0.010996,-0.009774
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,23,33,42,38,18,-2.358127,6.91765,6.501299,-0.00733,0.025656,-0.050091
A,23,35,44,38,20,-2.358127,6.91765,6.501299,-0.00733,0.025656,-0.050091
A,22,35,43,38,19,-2.358127,6.91765,6.501299,-0.00733,0.025656,-0.050091
A,23,35,43,39,19,-2.358127,6.91765,6.501299,-0.00733,0.025656,-0.050091
A,22,34,43,39,19,-2.358127,6.91765,6.501299,-0.00733,0.025656,-0.050091
A,23,34,43,38,19,-2.358127,6.91765,6.501299,-0.00733,0.025656,-0.050091
A,23,32,43,39,19,-2.358127,6.91765,6.501299,-0.00733,0.025656,-0.050091
A,23,33,44,38,19,-2.358127,6.91765,6.501299,-0.00733,0.025656,-0.050091
A,22,35,41,37,19,-2.358127,6.91765,6.501299,-0.00733,0.025656,-0.050091
A,23,35,43,37,19,-2.358127,6.91765,6.501299,-0.00733,0.025656,-0.050091
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,3,6,10,3,6,-2.062613,6.660422,6.486942,-0.057421,0,0.046426
A,3,1,5,0,4,-2.062613,6.660422,6.486942,-0.057421,0,0.046426
A,2,1,3,0,2,-2.062613,6.660422,6.486942,-0.057421,0,0.046426
A,1,0,3,0,2,-2.062613,6.660422,6.486942,-0.057421,0,0.046426
A,1,0,4,0,1,-2.062613,6.660422,6.486942,-0.057421,0,0.046426
A,2,0,4,0,3,-2.062613,6.660422,6.486942,-0.057421,0,0.046426
A,7,1,3,1,3,-2.062613,6.660422,6.486942,-0.057421,0,0.046426
A,9,1,3,1,4,-2.062613,6.660422,6.486942,-0.057421,0,0.046426
A,7,3,8,4,5,-2.062613,6.660422,6.486942,-0.057421,0,0.046426
A,10,5,9,7,5,-2.062613,6.660422,6.486942,-0.057421,0,0.046426
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,33,26,41,37,15,-4.295117,6.594619,6.315856,0.35308,0.072082,-0.230907
A,34,30,40,37,15,-4.295117,6.594619,6.315856,0.35308,0.072082,-0.230907
A,35,28,40,34,14,-4.295117,6.594619,6.315856,0.35308,0.072082,-0.230907
A,34,29,41,36,14,-4.295117,6.594619,6.315856,0.35308,0.072082,-0.230907
A,34,29,42,35,14,-4.295117,6.594619,6.315856,0.35308,0.072082,-0.230907
A,34,30,42,35,14,-4.295117,6.594619,6.315856,0.35308,0.072082,-0.230907
A,34,31,41,34,14,-4.295117,6.594619,6.315856,0.35308,0.072082,-0.230907
A,34,29,42,34,14,-4.295117,6.594619,6.315856,0.35308,0.072082,-0.230907
A,35,30,41,33,14,-4.295117,6.594619,6.315856,0.35308,0.072082,-0.230907
A,34,29,42,35,14,-4.295117,6.594619,6.315856,0.35308,0.072082,-0.230907
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,34,29,39,34,15,-4.198207,6.452246,5.666204,0.008552,0.001222,-0.013439
A,35,30,40,33,14,-4.198207,6.452246,5.666204,0.008552,0.001222,-0.013439
A,33,29,37,34,15,-4.198207,6.452246,5.666204,0.008552,0.001222,-0.013439
A,35,29,41,36,15,-4.198207,6.452246,5.666204,0.008552,0.001222,-0.013439
A,32,28,41,36,14,-4.198207,6.452246,5.666204,0.008552,0.001222,-0.013439
A,33,29,40,35,12,-4.198207,6.452246,5.666204,0.008552,0.001222,-0.013439
A,34,29,42,35,14,-4.198207,6.452246,5.666204,0.008552,0.001222,-0.013439
A,34,29,42,35,15,-4.198207,6.452246,5.666204,0.008552,0.001222,-0.013439
A,34,29,42,35,15,-4.198207,6.452246,5.666204,0.008552,0.001222,-0.013439
A,33,29,41,34,13,-4.198207,6.452246,5.666204,0.008552,0.001222,-0.013439
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,34,28,39,31,16,-4.193422,6.519246,5.778667,-0.010996,0.00733,-0.046426
A,33,28,40,32,14,-4.193422,6.519246,5.778667,-0.010996,0.00733,-0.046426
A,32,30,39,35,15,-4.193422,6.519246,5.778667,-0.010996,0.00733,-0.046426
A,33,31,41,32,14,-4.193422,6.519246,5.778667,-0.010996,0.00733,-0.046426
A,33,29,37,35,15,-4.193422,6.519246,5.778667,-0.010996,0.00733,-0.046426
A,33,29,41,32,14,-4.193422,6.519246,5.778667,-0.010996,0.00733,-0.046426
A,33,29,41,35,14,-4.193422,6.519246,5.778667,-0.010996,0.00733,-0.046426
A,34,29,41,35,13,-4.193422,6.519246,5.778667,-0.010996,0.00733,-0.046426
A,34,30,42,35,13,-4.193422,6.519246,5.778667,-0.010996,0.00733,-0.046426
A,33,31,41,32,14,-4.193422,6.519246,5.778667,-0.010996,0.00733,-0.046426
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,33,30,39,35,15,-4.38724,6.490532,5.705686,0.017104,-0.019548,-0.002443
A,33,30,42,35,16,-4.38724,6.490532,5.705686,0.017104,-0.019548,-0.002443
A,33,29,40,33,14,-4.38724,6.490532,5.705686,0.017104,-0.019548,-0.002443
A,33,29,38,34,14,-4.38724,6.490532,5.705686,0.017104,-0.019548,-0.002443
A,33,31,41,36,14,-4.38724,6.490532,5.705686,0.017104,-0.019548,-0.002443
A,33,28,39,31,14,-4.38724,6.490532,5.705686,0.017104,-0.019548,-0.002443
A,33,31,41,36,15,-4.38724,6.490532,5.705686,0.017104,-0.019548,-0.002443
