,1,2,3,4,5,6,7,8,9,10,11
159,13,6,44,39,29,-1.841277,6.699903,5.435297,-0.356745,3.19849,-0.445932
160,14,8,42,28,28,-2.291128,7.7013,5.691329,-0.204029,-0.001222,0.118508
161,10,9,39,27,39,-2.291128,7.7013,5.691329,-0.204029,-0.001222,0.118508
162,8,8,38,30,51,-2.291128,7.7013,5.691329,-0.204029,-0.001222,0.118508
163,8,6,39,31,50,-2.291128,7.7013,5.691329,-0.204029,-0.001222,0.118508
164,8,6,35,30,58,-2.291128,7.7013,5.691329,-0.204029,-0.001222,0.118508
165,9,8,38,30,59,-2.291128,7.7013,5.691329,-0.204029,-0.001222,0.118508
166,11,7,38,30,45,-2.291128,7.7013,5.691329,-0.204029,-0.001222,0.118508
167,12,6,43,30,42,-2.291128,7.7013,5.691329,-0.204029,-0.001222,0.118508
168,16,5,45,35,39,-2.291128,7.7013,5.691329,-0.204029,-0.001222,0.118508
169,16,7,45,35,37,-2.291128,7.7013,5.691329,-0.204029,-0.001222,0.118508
170,27,4,48,39,27,-1.209572,8.400003,4.212564,-0.018326,-0.047647,0.025656
171,27,3,50,40,27,-1.209572,8.400003,4.212564,-0.018326,-0.047647,0.025656
172,27,2,48,38,25,-1.209572,8.400003,4.212564,-0.018326,-0.047647,0.025656
173,27,3,45,39,21,-1.209572,8.400003,4.212564,-0.018326,-0.047647,0.025656
174,25,3,49,40,27,-1.209572,8.400003,4.212564,-0.018326,-0.047647,0.025656
175,25,4,47,40,25,-1.209572,8.400003,4.212564,-0.018326,-0.047647,0.025656
176,25,4,49,39,25,-1.209572,8.400003,4.212564,-0.018326,-0.047647,0.025656
177,27,4,48,40,25,-1.209572,8.400003,4.212564,-0.018326,-0.047647,0.025656
178,26,5,46,39,27,-1.209572,8.400003,4.212564,-0.018326,-0.047647,0.025656
179,27,3,46,40,26,-1.209572,8.400003,4.212564,-0.018326,-0.047647,0.025656
180,25,4,45,42,25,-1.819742,8.203793,4.646862,-0.025656,0.019548,0.034208
181,25,5,41,38,25,-1.819742,8.203793,4.646862,-0.025656,0.019548,0.034208
182,22,7,45,38,26,-1.819742,8.203793,4.646862,-0.025656,0.019548,0.034208
183,21,8,42,36,28,-1.819742,8.203793,4.646862,-0.025656,0.019548,0.034208
184,33,6,23,20,32,-1.819742,8.203793,4.646862,-0.025656,0.019548,0.034208
185,31,2,9,4,18,-1.819742,8.203793,4.646862,-0.025656,0.019548,0.034208
186,25,0,5,0,10,-1.819742,8.203793,4.646862,-0.025656,0.019548,0.034208
187,25,3,4,2,11,-1.819742,8.203793,4.646862,-0.025656,0.019548,0.034208
188,28,6,32,28,30,-1.819742,8.203793,4.646862,-0.025656,0.019548,0.034208
189,26,8,38,35,30,-1.819742,8.203793,4.646862,-0.025656,0.019548,0.034208
190,18,6,48,40,28,-1.141376,8.112864,5.095516,0.015882,-0.008552,-0.012217
191,19,6,50,43,30,-1.141376,8.112864,5.095516,0.015882,-0.008552,-0.012217
192,19,6,49,42,25,-1.141376,8.112864,5.095516,0.015882,-0.008552,-0.012217
193,20,6,50,43,25,-1.141376,8.112864,5.095516,0.015882,-0.008552,-0.012217
194,20,5,51,44,28,-1.141376,8.112864,5.095516,0.015882,-0.008552,-0.012217
195,21,6,50,45,28,-1.141376,8.112864,5.095516,0.015882,-0.008552,-0.012217
196,25,6,50,46,27,-1.141376,8.112864,5.095516,0.015882,-0.008552,-0.012217
197,25,7,49,43,24,-1.141376,8.112864,5.095516,0.015882,-0.008552,-0.012217
198,27,5,49,40,27,-1.141376,8.112864,5.095516,0.015882,-0.008552,-0.012217
199,26,6,45,44,22,-1.141376,8.112864,5.095516,0.015882,-0.008552,-0.012217
200,28,6,48,39,27,-1.400998,7.927422,5.059624,0.025656,-0.023213,0.026878
201,29,6,45,40,27,-1.400998,7.927422,5.059624,0.025656,-0.023213,0.026878
202,29,7,45,41,26,-1.400998,7.927422,5.059624,0.025656,-0.023213,0.026878
203,29,9,47,41,26,-1.400998,7.927422,5.059624,0.025656,-0.023213,0.026878
204,30,9,45,39,27,-1.400998,7.927422,5.059624,0.025656,-0.023213,0.026878
205,29,5,46,39,26,-1.400998,7.927422,5.059624,0.025656,-0.023213,0.026878
206,29,9,46,39,24,-1.400998,7.927422,5.059624,0.025656,-0.023213,0.026878
207,28,6,46,40,26,-1.400998,7.927422,5.059624,0.025656,-0.023213,0.026878
208,29,8,45,36,26,-1.400998,7.927422,5.059624,0.025656,-0.023213,0.026878
209,28,8,42,39,26,-1.400998,7.927422,5.059624,0.025656,-0.023213,0.026878
210,12,6,36,31,76,-0.370888,7.634301,6.507281,0.072082,-0.136834,0.144164
211,12,6,36,30,69,-0.370888,7.634301,6.507281,0.072082,-0.136834,0.144164
212,12,8,33,30,77,-0.370888,7.634301,6.507281,0.072082,-0.136834,0.144164
213,12,6,34,29,72,-0.370888,7.634301,6.507281,0.072082,-0.136834,0.144164
214,13,6,36,31,73,-0.370888,7.634301,6.507281,0.072082,-0.136834,0.144164
215,12,7,33,30,66,-0.370888,7.634301,6.507281,0.072082,-0.136834,0.144164
216,12,7,35,30,72,-0.370888,7.634301,6.507281,0.072082,-0.136834,0.144164
217,12,7,36,31,73,-0.370888,7.634301,6.507281,0.072082,-0.136834,0.144164
218,13,6,35,31,67,-0.370888,7.634301,6.507281,0.072082,-0.136834,0.144164
219,13,6,34,32,74,-0.370888,7.634301,6.507281,0.072082,-0.136834,0.144164
220,61,7,52,55,26,-0.282353,9.069994,2.301895,-0.002443,0.008552,-0.012217
