,1,2,3,4,5,6,7,8,9,10,11
129,54,5,7,3,4,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
133,46,12,14,9,6,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
134,50,9,7,4,5,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
135,52,6,5,3,3,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
136,51,7,8,3,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
137,47,7,7,4,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
138,49,7,7,4,5,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
139,48,7,6,4,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
140,47,7,7,4,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
141,47,6,6,4,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
142,44,6,8,4,4,3.424129,4.584648,8.035098,-0.010996,0.00733,0.059865
146,56,6,4,4,4,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
147,55,7,6,1,4,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
148,55,5,4,3,4,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
149,54,5,6,3,1,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
150,55,6,5,3,3,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
151,53,5,6,3,4,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
152,53,6,5,1,2,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
153,52,6,5,2,3,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
154,52,7,6,0,3,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
155,52,6,6,3,2,-0.332602,9.745967,5.302495,0.603535,0.175929,0.024435
159,47,2,1,2,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
160,53,2,2,2,3,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
161,53,3,2,4,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
162,52,3,1,4,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
163,51,3,2,3,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
164,51,3,2,3,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
165,51,3,2,2,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
166,51,3,2,3,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
167,47,3,1,4,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
168,49,2,1,1,4,2.608176,11.386246,0.256032,-0.001222,-0.151495,-0.002443
172,5,0,0,-1,4,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
173,7,0,0,0,4,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
174,9,0,-1,0,5,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
175,16,-1,0,-1,5,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
176,41,0,0,1,4,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
177,67,2,5,4,8,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
178,71,2,8,4,7,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
179,67,2,6,1,6,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
180,65,2,4,4,6,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
181,64,3,5,5,6,-1.654637,7.515856,0.642473,-0.777021,-0.425162,-1.258382
185,69,4,6,6,5,-1.59362,9.680164,1.476372,-0.059865,-0.129503,0.087965
186,67,4,7,6,6,-1.59362,9.680164,1.476372,-0.059865,-0.129503,0.087965
187,64,4,7,6,6,-1.59362,9.680164,1.476372,-0.059865,-0.129503,0.087965
188,66,3,6,5,5,-1.59362,9.680164,1.476372,-0.059865,-0.129503,0.087965
189,64,3,6,4,5,-1.59362,9.680164,1.476372,-0.059865,-0.129503,0.087965
190,61,3,5,5,5,-1.59362,9.680164,1.476372,-0.059865,-0.129503,0.087965
191,61,4,4,5,3,-1.59362,9.680164,1.476372,-0.059865,-0.129503,0.087965
192,62,4,6,5,5,-1.59362,9.680164,1.476372,-0.059865,-0.129503,0.087965
193,61,4,6,6,5,-1.59362,9.680164,1.476372,-0.059865,-0.129503,0.087965
194,62,4,3,4,4,-1.59362,9.680164,1.476372,-0.059865,-0.129503,0.087965
198,61,4,6,4,5,-0.400798,9.662218,0.899701,-0.025656,0.075747,0.086743
199,59,5,6,6,5,-0.400798,9.662218,0.899701,-0.025656,0.075747,0.086743
200,58,4,5,4,5,-0.400798,9.662218,0.899701,-0.025656,0.075747,0.086743
201,55,4,5,4,5,-0.400798,9.662218,0.899701,-0.025656,0.075747,0.086743
202,57,4,6,4,5,-0.400798,9.662218,0.899701,-0.025656,0.075747,0.086743
203,57,4,6,5,4,-0.400798,9.662218,0.899701,-0.025656,0.075747,0.086743
204,57,4,6,2,4,-0.400798,9.662218,0.899701,-0.025656,0.075747,0.086743
205,56,5,5,5,5,-0.400798,9.662218,0.899701,-0.025656,0.075747,0.086743
206,55,4,5,5,4,-0.400798,9.662218,0.899701,-0.025656,0.075747,0.086743
207,56,3,5,6,5,-0.400798,9.662218,0.899701,-0.025656,0.075747,0.086743
211,52,4,4,2,4,-0.892523,8.525627,2.71705,-0.836885,1.589471,0.004887
212,52,3,4,1,3,-0.892523,8.525627,2.71705,-0.836885,1.589471,0.004887
213,50,3,2,2,3,-0.892523,8.525627,2.71705,-0.836885,1.589471,0.004887
214,52,3,3,3,3,-0.892523,8.525627,2.71705,-0.836885,1.589471,0.004887
215,52,3,5,3,4,-0.892523,8.525627,2.71705,-0.836885,1.589471,0.004887
216,52,3,4,1,3,-0.892523,8.525627,2.71705,-0.836885,1.589471,0.004887
217,52,3,5,3,3,-0.892523,8.525627,2.71705,-0.836885,1.589471,0.004887
218,49,3,2,3,4,-0.892523,8.525627,2.71705,-0.836885,1.589471,0.004887
219,49,2,5,4,1,-0.892523,8.525627,2.71705,-0.836885,1.589471,0.004887
220,49,4,5,2,3,-0.892523,8.525627,2.71705,-0.836885,1.589471,0.004887
224,0,0,-1,0,1,4.31067,7.805387,3.820141,0.023213,-0.009774,-0.009774
225,0,0,0,0,1,4.31067,7.805387,3.820141,0.023213,-0.009774,-0.009774
226,1,0,0,1,1,4.31067,7.805387,3.820141,0.023213,-0.009774,-0.009774
227,2,0,0,0,1,4.31067,7.805387,3.820141,0.023213,-0.009774,-0.009774
